id,alias,real_name,rank,status,badge_number,meeting_location,contact_code
0,rjames,Matthew Weaver,Supervisor,Inactive,9054-7992,"3212 Brown Valley
Victorville, NM 12520",81099
1,evan19,Robert King,Agent,Active,2977-4692,"695 Bryan Turnpike
Wendyshire, AL 10060",07347
2,daniel51,Ariana Cruz,Chief,Retired,4658-1320,"1855 Jasmine Falls Suite 794
South Darin, ND 35763",35486
3,sheri92,Tammy Barrett,Senior Agent,Retired,7269-6403,"5215 Mallory Meadow
Denisefurt, NM 71245",20474
4,clarence64,Justin Owens,Supervisor,Inactive,6429-9470,"64483 Scott Turnpike
Mcdonaldton, OR 24143",82366
5,amandasmith,Scott Andrews,Chief,Retired,5718-1341,"0955 Kelly Walks
Gardnerville, WV 85327",75378
6,hmorales,Maria Mercer,Chief,Inactive,5223-7097,"29750 Jason Camp Apt. 709
West Samantha, MI 25161",08631
7,garciamelissa,Paul Yang,Chief,Active,8823-5319,"48879 Deanna Brook Apt. 289
Greenfurt, VI 42052",93739
8,rsmith,Thomas Jones,Supervisor,Inactive,3453-9491,"71238 Susan Extension Apt. 132
West Jonburgh, ME 61552",21169
9,leslieavila,Jennifer Davis,Supervisor,On Leave,8456-9093,"2383 Melissa Avenue Apt. 962
Barbarachester, SC 38216",90144
10,davidjohnson,Michelle Lin,Senior Agent,On Leave,8592-8827,"2508 Jessica Light Suite 248
Jamesstad, IL 17280",30195
11,lauraalexander,John Hernandez,Senior Agent,On Leave,1509-5605,"43833 Heather Square
Sawyerland, AR 51992",24561
12,shane31,Luis Flores,Agent,Retired,2605-2511,"22121 Joseph Meadow
Mcclainfort, MO 10218",65572
13,coxjason,Courtney Jackson,Chief,On Leave,4265-3955,"867 Jamie Knoll Suite 675
West Richard, TX 26447",23423
14,poncegregg,Megan Nunez,Chief,Inactive,5903-5878,"23749 Smith Stream Apt. 573
West Steven, MI 46418",32342
15,ndavis,Sandra Morton,Chief,Inactive,7697-4772,"12726 Tran Row Suite 903
South Morgan, PW 08506",49301
